COUNTRY,YEAR,TOTAL_BUDGET,BUDGET_RANK,PCT_DEFENSE,PCT_EDUCATION,PCT_HEALTH,PCT_SOCIAL_WELFARE,PCT_INFRASTRUCTURE
South Africa,1952,1.136,23,5.5,20.47,11.86,8.13,16.26
New Zealand,1952,1.115,24,4.59,8.19,14.71,22.2,9.52
Kazakhstan,1952,1.112,25,4.86,14.76,9.25,13.63,17.04
Philippines,1952,1.096,26,12.48,15.24,6.52,3.96,7.91
Chile,1952,1.092,27,14.85,13.52,10.96,11.53,14.41
Israel,1952,0.681,28,14.06,13.67,9.41,9.71,12.14
South Korea,1952,0.645,29,20.31,5,8.28,12.77,15.96
Portugal,1952,0.644,30,4.36,7.21,14.06,25.13,10.77
Vietnam,1952,0.62,31,7.55,18,9.48,8.99,17.99
Iran,1952,0.595,32,14.48,18.35,10.95,10.13,12.66
Greece,1952,0.571,33,10.81,8.38,9.61,22.9,9.81
Colombia,1952,0.569,34,10.86,18.09,14.88,8.09,10.11
Pakistan,1952,0.567,35,25.1,7.8,6.26,8.38,16.75
Bangladesh,1952,0.397,36,10.33,5.26,5.21,9.16,18.32
Indonesia,1952,0.392,37,7.19,5.86,3.59,11.97,23.94
Saudi Arabia,1952,0.376,38,35.44,14.71,9.16,7.69,9.61
Nigeria,1952,0.341,39,2.23,8.55,2.37,12.28,24.56
Thailand,1952,0.323,40,13.67,18.9,9.25,7.16,14.32
Malaysia,1952,0.32,41,7.8,19.11,4.58,8.13,16.26
Peru,1952,0.281,42,8.33,15.25,10.77,11.8,14.75
Ireland,1952,0.279,43,2.49,14.78,14.96,19.95,8.55
United Arab Emirates,1952,0.085,44,19.16,13.57,7.57,11.94,14.93
Singapore,1952,0.073,45,29.92,20.31,7.39,6.87,8.59
USA,2011,6577.734,1,12.43,13.55,18.93,16.41,7.03
Japan,2011,2808.475,2,2.52,9.97,21.69,21.29,9.12
China,2011,2531.68,3,6.17,11.91,8.6,10.25,20.5
Germany,2011,1736.645,4,2.61,10.79,17.61,22.26,9.54
France,2011,1652.486,5,3.31,9.48,5,27.02,11.58
UK,2011,1298.111,6,5.74,12.46,18.42,19.46,8.34
Italy,2011,1118.289,7,2.99,8.35,5,25.54,10.94
Brazil,2011,871.011,8,15,5,5,10.5,21
Russia,2011,673.031,9,10.32,11.15,9.03,13.51,16.89
Spain,2011,669.406,10,15,10.27,14.6,19.3,8.27
Australia,2011,528.739,11,4.84,12.17,16.32,21.58,9.25
India,2011,515.468,12,9.59,13.56,3.38,8.29,16.58
Canada,2011,500.485,13,15,5,17.59,20.09,8.61
Mexico,2011,394.93,14,1.68,18.42,10.51,8.89,17.78
Netherlands,2011,388.749,15,2.67,11.34,14.52,23.65,10.14
Turkey,2011,387.462,16,15,12.87,11.22,10.31,12.88
South Korea,2011,313.705,17,12.97,5,11.05,13.04,16.3
Sweden,2011,261.839,18,2.26,13.05,17.69,22.39,9.6
Argentina,2011,244.258,19,2.19,15.16,16.39,11.7,14.63
Switzerland,2011,229.627,20,2.21,15.45,10.5,24.27,10.4
Poland,2011,211.623,21,4.06,10.95,10.05,13.64,17.04
Saudi Arabia,2011,202.614,22,22.01,15.84,7.58,10.64,13.3
Indonesia,2011,189.257,23,3.69,18.01,3.96,9.52,19.04
Greece,2011,187.679,24,4.58,7.1,10.96,22.2,9.51
South Africa,2011,176.629,25,3.57,18.66,14.67,8.28,16.56
Portugal,2011,131.142,26,2.98,10.23,12.53,22.55,9.66
Iran,2011,124.538,27,13.01,20.15,12.02,10.82,13.52
Thailand,2011,99.711,28,6.55,22.63,12.84,7.79,15.57
Colombia,2011,87.642,29,10.18,13.15,16.48,9.88,12.35
Israel,2011,83.582,30,14.34,13.83,10.65,10.07,12.59
Malaysia,2011,77.583,31,5.73,20.98,6.52,8.54,17.08
New Zealand,2011,77.431,32,2.74,15.56,17.08,21.29,9.12
Ireland,2011,76.998,33,1.15,12.34,16.18,22,9.43
United Arab Emirates,2011,71.456,34,17.55,13.57,8.53,12.07,15.09
Romania,2011,69.535,35,3.53,8.31,5,15.56,19.45
Chile,2011,58.964,36,9.89,17.75,14.01,11.11,13.88
Egypt,2011,58.823,37,6.01,10.94,4.83,8.87,17.74
Nigeria,2011,49.736,38,3.35,8.55,2.77,12.05,24.1
Philippines,2011,46.399,39,6.7,15.52,6.17,7.65,15.3
Kazakhstan,2011,41.206,40,4.41,16.98,8.68,13.47,16.84
Peru,2011,38.646,41,6.97,13.54,11.69,12.26,15.33
Vietnam,2011,37.971,42,7.33,17.81,9.11,9.11,18.22
Singapore,2011,36.435,43,32.63,28.86,11.97,5.31,6.63
Pakistan,2011,33.311,44,16.98,10.92,2.54,9.68,19.37
Bangladesh,2011,22.139,45,10.56,16.79,4.18,7.68,15.35
USA,1985,1600.671,1,9.56,13.55,16.16,15.72,6.74
Japan,1985,533.323,2,3.02,18.05,15.07,20.6,8.83
Germany,1985,302.765,3,4.24,9.53,15.94,22.73,9.74
France,1985,274.73,4,5.77,9.81,5,26.05,11.16
Italy,1985,241.842,5,4.03,8.73,5,22.97,9.84
UK,1985,200.646,6,11.31,10.47,15.97,18.07,7.74
Russia,1985,182.635,7,6.91,8.95,9.72,11.56,14.44
Canada,1985,140.757,8,15,5,14.82,21.06,9.03
China,1985,102.321,9,13.21,10.69,6.09,9.75,19.5
Spain,1985,81.299,10,15,8.84,12.41,20.56,8.81
Netherlands,1985,71.006,11,4.93,10.5,12.28,22.37,9.59
Australia,1985,69.413,12,7.04,13.25,14.6,21.04,9.02
Brazil,1985,68.732,13,15,5,5,10.5,21
India,1985,65.239,14,14.78,13.32,3.05,7.73,15.46
Sweden,1985,62.653,15,4,8.29,11.8,19.66,8.42
Mexico,1985,61.703,16,1.72,12.15,9.9,5.08,10.15
Iran,1985,33.317,17,14.48,18.35,10.95,11.18,13.97
Saudi Arabia,1985,33.035,18,35.44,14.71,9.16,7.69,9.61
Switzerland,1985,30.031,19,5.38,15.52,7.84,23.71,10.16
South Korea,1985,24.903,20,20.31,5,8.28,11.66,14.58
Poland,1985,21.403,21,4.1,16.8,8.38,14.02,17.52
South Africa,1985,19.222,22,5.5,20.47,11.86,7.36,14.73
Greece,1985,18.266,23,10.81,6.49,9.61,21.36,9.16
Turkey,1985,17.123,24,15,12.87,7.19,10.96,13.7
Argentina,1985,17.068,25,5.78,15.4,17.82,10.47,13.09
Indonesia,1985,16.056,26,7.19,5.86,3.59,10.63,21.25
Romania,1985,15.386,27,11.82,14.73,5,13.05,16.31
Israel,1985,14.43,28,14.06,13.67,9.41,7.54,9.43
United Arab Emirates,1985,12.141,29,19.16,13.57,7.57,11.94,14.93
Egypt,1985,11.943,30,9.79,15.35,6.66,8.8,17.6
Portugal,1985,10.938,31,4.36,7.21,14.06,19.96,8.56
New Zealand,1985,10.238,32,4.59,8.19,14.71,18.75,8.04
Thailand,1985,9.166,33,13.67,18.9,9.25,6.16,12.33
Nigeria,1985,8.849,34,2.23,8.55,2.37,12.28,24.56
Malaysia,1985,7.694,35,7.8,19.11,4.58,8.13,16.26
Philippines,1985,7.534,36,12.48,15.24,6.52,3.96,7.91
Colombia,1985,7.28,37,10.86,16.41,14.88,8.43,10.53
Ireland,1985,7.009,38,2.49,11.23,14.96,18.12,7.77
Pakistan,1985,6.956,39,25.1,7.8,6.26,8.38,16.75
Kazakhstan,1985,5.563,40,4.86,14.76,9.25,13.63,17.04
Chile,1985,5.487,41,14.85,13.52,10.96,10.75,13.43
Singapore,1985,3.512,42,29.92,20.31,7.39,5.21,6.51
Peru,1985,3.278,43,8.33,15.25,10.77,7.01,8.76
Vietnam,1985,3.101,44,7.55,18,9.48,8.99,17.99
Bangladesh,1985,3.059,45,10.33,8.39,5.21,8.69,17.38
USA,1955,125.741,1,9.56,13.55,16.16,18.98,8.13
Russia,1955,42.258,2,6.91,8.95,9.72,11.56,14.44
Canada,1955,32.568,3,15,5,14.82,21.06,9.03
Germany,1955,21.372,4,4.24,9.53,15.94,24.05,10.31
UK,1955,19.326,5,11.31,12.67,15.97,17.95,7.69
France,1955,17.649,6,5.77,11.51,5,25.45,10.91
China,1955,15.474,7,13.21,9.56,6.09,9.92,19.84
Italy,1955,10.132,8,4.03,8.73,5,26.5,11.36
Japan,1955,9.701,9,3.02,16.13,15.07,21.28,9.12
Poland,1955,4.952,10,4.1,16.8,8.38,14.1,17.63
India,1955,4.944,11,14.78,13.32,3.05,8.63,17.26
Spain,1955,4.381,12,15,8.84,12.41,20.56,8.81
Brazil,1955,4.349,13,15,5,5,10.5,21
Sweden,1955,4.069,14,4,9.8,11.8,24.74,10.6
Australia,1955,3.829,15,7.04,13.25,14.6,21.04,9.02
Netherlands,1955,3.689,16,4.93,12.07,12.28,23.65,10.14
Romania,1955,3.409,17,11.82,14.73,5,13.05,16.31
Argentina,1955,2.407,18,5.78,15.4,17.82,10.47,13.09
Switzerland,1955,1.746,19,5.38,15.59,7.84,24.21,10.37
Mexico,1955,1.587,20,1.72,12.15,9.9,10.12,20.24
Egypt,1955,1.429,21,9.79,15.35,6.66,9.77,19.53
Turkey,1955,1.346,22,15,12.87,7.19,12.29,15.37
South Africa,1955,1.315,23,5.5,20.47,11.86,8.13,16.26
New Zealand,1955,1.29,24,4.59,8.19,14.71,22.2,9.52
Kazakhstan,1955,1.287,25,4.86,14.76,9.25,13.63,17.04
Philippines,1955,1.269,26,12.48,15.24,6.52,3.96,7.91
Chile,1955,1.264,27,14.85,13.52,10.96,11.53,14.41
Israel,1955,0.788,28,14.06,13.67,9.41,9.71,12.14
South Korea,1955,0.747,29,20.31,5,8.28,12.77,15.96
Portugal,1955,0.746,30,4.36,7.21,14.06,25.13,10.77
Vietnam,1955,0.717,31,7.55,18,9.48,8.99,17.99
Iran,1955,0.689,32,14.48,18.35,10.95,10.13,12.66
Greece,1955,0.661,33,10.81,8.38,9.61,22.9,9.81
Colombia,1955,0.659,34,10.86,18.09,14.88,8.09,10.11
Pakistan,1955,0.656,35,25.1,7.8,6.26,8.38,16.75
Bangladesh,1955,0.46,36,10.33,5.26,5.21,9.16,18.32
Indonesia,1955,0.454,37,7.19,5.86,3.59,11.97,23.94
Saudi Arabia,1955,0.436,38,35.44,14.71,9.16,7.69,9.61
Nigeria,1955,0.395,39,2.23,8.55,2.37,12.28,24.56
Thailand,1955,0.374,40,13.67,18.9,9.25,7.16,14.32
Malaysia,1955,0.37,41,7.8,19.11,4.58,8.13,16.26
Peru,1955,0.325,42,8.33,15.25,10.77,11.8,14.75
Ireland,1955,0.322,43,2.49,14.78,14.96,19.95,8.55
United Arab Emirates,1955,0.099,44,19.16,13.57,7.57,11.94,14.93
Singapore,1955,0.085,45,29.92,20.31,7.39,6.87,8.59
USA,1969,301.26,1,9.56,13.55,16.16,18.98,8.13
Russia,1969,83.667,2,6.91,8.95,9.72,11.56,14.44
Canada,1969,64.482,3,15,5,14.82,21.06,9.03
Germany,1969,57.292,4,4.24,9.53,15.94,24.05,10.31
France,1969,51.137,5,5.77,11.51,5,25.45,10.91
Japan,1969,48.118,6,3.02,16.13,15.07,21.28,9.12
UK,1969,39.226,7,11.31,12.67,15.97,17.95,7.69
Italy,1969,31.086,8,4.03,8.73,5,26.5,11.36
China,1969,26.35,9,13.21,9.56,6.09,9.92,19.84
Spain,1969,16.691,10,15,8.84,12.41,20.56,8.81
Brazil,1969,12.115,11,15,5,5,10.5,21
Netherlands,1969,12.082,12,4.93,12.07,12.28,23.65,10.14
Sweden,1969,11.072,13,4,9.8,11.8,24.74,10.6
India,1969,9.96,14,14.78,13.32,3.05,8.63,17.26
Poland,1969,9.805,15,4.1,16.8,8.38,14.1,17.63
Australia,1969,9.634,16,7.04,13.25,14.6,21.04,9.02
Romania,1969,6.75,17,11.82,14.73,5,13.05,16.31
Argentina,1969,6.052,18,5.78,15.4,17.82,10.47,13.09
Mexico,1969,5.044,19,1.72,12.15,9.9,10.12,20.24
Switzerland,1969,4.804,20,5.38,15.59,7.84,24.21,10.37
Turkey,1969,4.419,21,15,12.87,7.19,12.29,15.37
South Africa,1969,3.695,22,5.5,20.47,11.86,8.13,16.26
Chile,1969,3.24,23,14.85,13.52,10.96,11.53,14.41
Egypt,1969,2.828,24,9.79,15.35,6.66,9.77,19.53
Kazakhstan,1969,2.549,25,4.86,14.76,9.25,13.63,17.04
Greece,1969,2.261,26,10.81,8.38,9.61,22.9,9.81
Portugal,1969,2.077,27,4.36,7.21,14.06,25.13,10.77
Israel,1969,2.064,28,14.06,13.67,9.41,9.71,12.14
Philippines,1969,2.063,29,12.48,15.24,6.52,3.96,7.91
Iran,1969,2.039,30,14.48,18.35,10.95,10.13,12.66
Pakistan,1969,1.939,31,25.1,7.8,6.26,8.38,16.75
South Korea,1969,1.859,32,20.31,5,8.28,12.77,15.96
New Zealand,1969,1.729,33,4.59,8.19,14.71,22.2,9.52
Saudi Arabia,1969,1.426,34,35.44,14.71,9.16,7.69,9.61
Vietnam,1969,1.421,35,7.55,18,9.48,8.99,17.99
Colombia,1969,1.346,36,10.86,18.09,14.88,8.09,10.11
Indonesia,1969,1.199,37,7.19,5.86,3.59,11.97,23.94
Bangladesh,1969,1.163,38,10.33,5.26,5.21,9.16,18.32
Thailand,1969,1.157,39,13.67,18.9,9.25,7.16,14.32
Peru,1969,1.037,40,8.33,15.25,10.77,11.8,14.75
Malaysia,1969,0.904,41,7.8,19.11,4.58,8.13,16.26
Ireland,1969,0.804,42,2.49,14.78,14.96,19.95,8.55
Nigeria,1969,0.796,43,2.23,8.55,2.37,12.28,24.56
Singapore,1969,0.254,44,29.92,20.31,7.39,6.87,8.59
United Arab Emirates,1969,0.195,45,19.16,13.57,7.57,11.94,14.93
USA,1956,132.028,1,9.56,13.55,16.16,18.98,8.13
Russia,1956,44.37,2,6.91,8.95,9.72,11.56,14.44
Canada,1956,34.196,3,15,5,14.82,21.06,9.03
Germany,1956,22.441,4,4.24,9.53,15.94,24.05,10.31
UK,1956,20.292,5,11.31,12.67,15.97,17.95,7.69
France,1956,18.532,6,5.77,11.51,5,25.45,10.91
China,1956,16.248,7,13.21,9.56,6.09,9.92,19.84
Italy,1956,10.638,8,4.03,8.73,5,26.5,11.36
Japan,1956,10.186,9,3.02,16.13,15.07,21.28,9.12
Poland,1956,5.2,10,4.1,16.8,8.38,14.1,17.63
India,1956,5.192,11,14.78,13.32,3.05,8.63,17.26
Spain,1956,4.6,12,15,8.84,12.41,20.56,8.81
Brazil,1956,4.567,13,15,5,5,10.5,21
Sweden,1956,4.272,14,4,9.8,11.8,24.74,10.6
Australia,1956,4.021,15,7.04,13.25,14.6,21.04,9.02
Netherlands,1956,3.873,16,4.93,12.07,12.28,23.65,10.14
Romania,1956,3.58,17,11.82,14.73,5,13.05,16.31
Argentina,1956,2.527,18,5.78,15.4,17.82,10.47,13.09
Switzerland,1956,1.834,19,5.38,15.59,7.84,24.21,10.37
Mexico,1956,1.666,20,1.72,12.15,9.9,10.12,20.24
Egypt,1956,1.5,21,9.79,15.35,6.66,9.77,19.53
Turkey,1956,1.413,22,15,12.87,7.19,12.29,15.37
South Africa,1956,1.381,23,5.5,20.47,11.86,8.13,16.26
New Zealand,1956,1.355,24,4.59,8.19,14.71,22.2,9.52
Kazakhstan,1956,1.352,25,4.86,14.76,9.25,13.63,17.04
Philippines,1956,1.332,26,12.48,15.24,6.52,3.96,7.91
Chile,1956,1.327,27,14.85,13.52,10.96,11.53,14.41
Israel,1956,0.828,28,14.06,13.67,9.41,9.71,12.14
South Korea,1956,0.784,29,20.31,5,8.28,12.77,15.96
Portugal,1956,0.783,30,4.36,7.21,14.06,25.13,10.77
Vietnam,1956,0.753,31,7.55,18,9.48,8.99,17.99
Iran,1956,0.723,32,14.48,18.35,10.95,10.13,12.66
Greece,1956,0.694,33,10.81,8.38,9.61,22.9,9.81
Colombia,1956,0.692,34,10.86,18.09,14.88,8.09,10.11
Pakistan,1956,0.689,35,25.1,7.8,6.26,8.38,16.75
Bangladesh,1956,0.483,36,10.33,5.26,5.21,9.16,18.32
Indonesia,1956,0.477,37,7.19,5.86,3.59,11.97,23.94
Saudi Arabia,1956,0.457,38,35.44,14.71,9.16,7.69,9.61
Nigeria,1956,0.414,39,2.23,8.55,2.37,12.28,24.56
Thailand,1956,0.393,40,13.67,18.9,9.25,7.16,14.32
Malaysia,1956,0.389,41,7.8,19.11,4.58,8.13,16.26
Peru,1956,0.342,42,8.33,15.25,10.77,11.8,14.75
Ireland,1956,0.339,43,2.49,14.78,14.96,19.95,8.55
United Arab Emirates,1956,0.104,44,19.16,13.57,7.57,11.94,14.93
Singapore,1956,0.089,45,29.92,20.31,7.39,6.87,8.59
USA,2002,3651.659,1,10.28,13.55,17.22,17,7.29
Japan,2002,1632.448,2,2.66,9.97,16.06,23.21,9.95
Germany,2002,1039.516,3,2.72,10.07,16.24,22.65,9.71
France,2002,827.28,4,3.82,9.48,5,26.85,11.51
UK,2002,728.611,5,6.89,13.31,16.8,20.2,8.66
Italy,2002,584.405,6,3.64,9.5,5,23.9,10.24
China,2002,491.641,7,11.19,11.91,6.03,9.88,19.76
Canada,2002,322.617,8,15,5,15.88,20.69,8.87
Spain,2002,319.022,9,15,10.7,12.51,19.88,8.52
Mexico,2002,256.804,10,1.98,21.46,10.43,8.2,16.4
Netherlands,2002,185.079,11,3.17,10.69,13.44,23.38,10.02
Brazil,2002,166.158,12,15,5,5,10.5,21
India,2002,161.306,13,9.88,12.41,2.77,6.94,13.87
South Korea,2002,156.003,14,13.66,5,8.93,13.35,16.69
Australia,2002,151.701,15,5.35,12.17,15.51,21.69,9.29
Sweden,2002,126.953,16,3.1,13.12,12.56,22.25,9.54
Switzerland,2002,116.172,17,2.73,15.18,8.84,24.34,10.43
Turkey,2002,110.516,18,15,12.87,8.64,9.27,11.58
Russia,2002,109.681,19,11.14,10.58,9.52,11.93,14.91
Poland,2002,90.976,20,4.2,11.92,9.39,13.51,16.89
Greece,2002,78.516,21,6.72,7.48,10.87,21.47,9.2
Portugal,2002,62.225,22,3.32,11.9,14.46,22.06,9.45
Saudi Arabia,2002,60.287,23,27.21,21.29,8.57,8.13,10.17
Israel,2002,49.506,24,12.76,12.52,8.69,9.59,11.99
Indonesia,2002,42.403,25,3.8,14.37,3.98,7.43,14.85
South Africa,2002,37.936,26,6.16,20.1,10.38,7.32,14.64
Thailand,2002,37.552,27,5.58,16.22,8.72,9.5,19
Argentina,2002,36.058,28,4.47,16.44,17.75,5.41,6.76
Colombia,2002,29.221,29,12.25,13.15,14.86,8.49,10.61
Ireland,2002,27.234,30,1.93,12.48,16.03,22.82,9.78
Malaysia,2002,23.518,31,7.51,25.9,5.04,7.09,14.18
New Zealand,2002,23.497,32,3.81,15.56,16.28,20.68,8.86
Iran,2002,22.674,33,11.1,26.51,9.57,10.37,12.96
United Arab Emirates,2002,21.273,34,22.85,13.57,7.8,11.15,13.94
Philippines,2002,20.06,35,6.92,14.07,4.75,6.88,13.75
Egypt,2002,19.812,36,10.6,15.35,6.14,7.24,14.47
Chile,2002,16.987,37,10.91,17.45,11.66,10.88,13.6
Romania,2002,15.717,38,7.15,10.92,5,13.85,17.31
Singapore,2002,15.257,39,30.43,21.42,6.54,7.99,9.99
Pakistan,2002,14.146,40,22.57,11.23,6.27,8.24,16.48
Peru,2002,12.315,41,7.92,14.58,12.84,10.52,13.15
Nigeria,2002,11.406,42,4.92,8.55,2.74,11.82,23.64
Vietnam,2002,7.714,43,7.55,18,8.62,9.12,18.25
Bangladesh,2002,7.548,44,10.12,15.69,4.54,7.47,14.94
Kazakhstan,2002,4.398,45,4.86,14.76,9.42,12.59,15.74
USA,1945,77.194,1,9.56,13.55,16.16,18.98,8.13
UK,1945,11.864,2,11.31,12.67,15.97,17.95,7.69
USA,1981,1120.666,1,9.56,13.55,16.16,17.18,7.36
Japan,1981,494.462,2,3.02,16.13,15.07,21.28,9.12
Germany,1981,336.048,3,4.24,9.53,15.94,23.25,9.97
France,1981,287.418,4,5.77,11.51,5,25.45,10.91
UK,1981,231.333,5,11.31,12.67,15.97,17.34,7.43
Italy,1981,230.336,6,4.03,8.73,5,22.97,9.84
Russia,1981,150.254,7,6.91,8.95,9.72,11.56,14.44
Canada,1981,115.801,8,15,5,14.82,21.06,9.03
Spain,1981,91.198,9,15,8.84,12.41,20.56,8.81
Brazil,1981,84.095,10,15,5,5,10.5,21
Netherlands,1981,78.049,11,4.93,12.07,12.28,23.15,9.92
Sweden,1981,66.848,12,4,10.14,11.8,22.45,9.62
China,1981,64.752,13,13.21,9.56,6.09,9.92,19.84
Australia,1981,60.608,14,7.04,13.25,14.6,21.04,9.02
Saudi Arabia,1981,58.597,15,35.44,14.71,9.16,7.69,9.61
Mexico,1981,51.052,16,1.72,12.15,9.9,8.32,16.63
India,1981,42.953,17,14.78,13.32,3.05,8.22,16.44
Switzerland,1981,34.618,18,5.38,15.59,7.84,23.89,10.24
Iran,1981,27.536,19,14.48,18.35,10.95,11.05,13.82
South Africa,1981,21.663,20,5.5,20.47,11.86,7.82,15.63
Nigeria,1981,19.737,21,2.23,8.55,2.37,12.28,24.56
South Korea,1981,17.829,22,20.31,5,8.28,11.75,14.69
Poland,1981,17.609,23,4.1,16.8,8.38,14.1,17.63
Turkey,1981,17.043,24,15,12.87,7.19,11.75,14.68
Indonesia,1981,16.225,25,7.19,5.86,3.59,11.57,23.13
Greece,1981,15.308,26,10.81,8.38,9.61,21.77,9.33
Argentina,1981,15.233,27,5.78,15.4,17.82,10.47,13.09
Israel,1981,14.936,28,14.06,13.67,9.41,9.18,11.48
United Arab Emirates,1981,14.752,29,19.16,13.57,7.57,11.94,14.93
Romania,1981,12.122,30,11.82,14.73,5,13.05,16.31
Portugal,1981,11.365,31,4.36,7.21,14.06,21.39,9.17
Chile,1981,10.568,32,14.85,13.52,10.96,11.83,14.79
New Zealand,1981,10.151,33,4.59,8.19,14.71,21.42,9.18
Philippines,1981,8.727,34,12.48,15.24,6.52,3.96,7.91
Egypt,1981,8.095,35,9.79,15.35,6.66,9.23,18.47
Colombia,1981,7.592,36,10.86,18.09,14.88,8.09,10.11
Thailand,1981,7.445,37,13.67,18.9,9.25,6.96,13.91
Pakistan,1981,6.276,38,25.1,7.8,6.26,8.38,16.75
Ireland,1981,6.263,39,2.49,14.78,14.96,18.37,7.87
Malaysia,1981,6.166,40,7.8,19.11,4.58,8.13,16.26
Peru,1981,4.805,41,8.33,15.25,10.77,8.33,10.41
Kazakhstan,1981,4.577,42,4.86,14.76,9.25,13.63,17.04
Bangladesh,1981,2.781,43,10.33,6.63,5.21,8.96,17.91
Singapore,1981,2.584,44,29.92,20.31,7.39,5.64,7.04
Vietnam,1981,2.551,45,7.55,18,9.48,8.99,17.99
USA,1964,202.573,1,9.56,13.55,16.16,18.98,8.13
Russia,1964,65.555,2,6.91,8.95,9.72,11.56,14.44
Canada,1964,50.524,3,15,5,14.82,21.06,9.03
Germany,1964,39.755,4,4.24,9.53,15.94,24.05,10.31
France,1964,33.964,5,5.77,11.51,5,25.45,10.91
UK,1964,31.797,6,11.31,12.67,15.97,17.95,7.69
