COUNTRY,YEAR,CATEGORY,AMOUNT_BILLIONS,PERCENTAGE
Canada,1948,Defense,3.472,15
Canada,1949,Defense,3.645,15
Canada,1950,Defense,3.828,15
Canada,1951,Defense,4.019,15
Canada,1952,Defense,4.22,15
Canada,1953,Defense,4.431,15
Canada,1954,Defense,4.653,15
Canada,1955,Defense,4.885,15
Canada,1956,Defense,5.129,15
Canada,1957,Defense,5.386,15
Canada,1958,Defense,5.655,15
Canada,1959,Defense,5.938,15
Canada,1960,Defense,6.235,15
Canada,1961,Defense,6.547,15
Canada,1962,Defense,6.874,15
Canada,1963,Defense,7.218,15
Canada,1964,Defense,7.579,15
Canada,1965,Defense,7.957,15
Canada,1966,Defense,8.355,15
Canada,1967,Defense,8.773,15
Canada,1968,Defense,9.212,15
Canada,1969,Defense,9.672,15
Canada,1970,Defense,10.156,15
Canada,1971,Defense,10.664,15
Canada,1972,Defense,11.197,15
Canada,1973,Defense,11.757,15
Canada,1974,Defense,12.345,15
Canada,1975,Defense,12.962,15
Canada,1976,Defense,13.61,15
Canada,1977,Defense,14.29,15
Canada,1978,Defense,15.005,15
Canada,1979,Defense,15.755,15
Canada,1980,Defense,16.543,15
Canada,1981,Defense,17.37,15
Canada,1982,Defense,18.239,15
Canada,1983,Defense,19.151,15
Canada,1984,Defense,20.108,15
Canada,1985,Defense,21.114,15
Canada,1986,Defense,22.169,15
Canada,1987,Defense,23.278,15
Canada,1988,Defense,24.442,15
Canada,1989,Defense,25.664,15
Canada,1990,Defense,26.947,15
Canada,1991,Defense,28.294,15
Canada,1992,Defense,29.709,15
Canada,1993,Defense,31.194,15
Canada,1994,Defense,32.754,15
Canada,1995,Defense,34.392,15
Canada,1996,Defense,36.111,15
Canada,1997,Defense,37.917,15
Canada,1998,Defense,39.813,15
Canada,1999,Defense,41.803,15
Canada,2000,Defense,43.894,15
Canada,2001,Defense,46.088,15
Canada,2002,Defense,48.393,15
Canada,2003,Defense,50.812,15
Canada,2004,Defense,53.353,15
Canada,2005,Defense,56.02,15
Canada,2006,Defense,58.822,15
Canada,2007,Defense,61.763,15
Canada,2008,Defense,64.851,15
Canada,2009,Defense,68.093,15
Canada,2010,Defense,71.498,15
Canada,2011,Defense,75.073,15
Canada,2012,Defense,78.826,15
Canada,2013,Defense,82.768,15
Canada,2014,Defense,86.906,15
Canada,2015,Defense,91.251,15
Canada,2016,Defense,95.814,15
Canada,2017,Defense,100.605,15
Canada,2018,Defense,105.635,15
Canada,2019,Defense,110.917,15
Canada,2020,Defense,116.463,15
Canada,2021,Defense,122.286,15
Canada,2022,Defense,128.4,15
Canada,2023,Defense,133.279,15
Canada,2024,Defense,138.344,15
Canada,2025,Defense,143.601,15
Canada,2026,Defense,149.058,15
Chile,1946,Defense,0.121,14.85
Chile,1947,Defense,0.127,14.85
Chile,1948,Defense,0.133,14.85
Chile,1949,Defense,0.14,14.85
Chile,1950,Defense,0.147,14.85
Chile,1951,Defense,0.154,14.85
Chile,1952,Defense,0.162,14.85
Chile,1953,Defense,0.17,14.85
Chile,1954,Defense,0.179,14.85
Chile,1955,Defense,0.188,14.85
Chile,1956,Defense,0.197,14.85
Chile,1957,Defense,0.207,14.85
Chile,1958,Defense,0.217,14.85
Chile,1959,Defense,0.228,14.85
Chile,1960,Defense,0.24,14.85
Chile,1961,Defense,0.282,14.85
Chile,1962,Defense,0.328,14.85
Chile,1963,Defense,0.324,14.85
Chile,1964,Defense,0.345,14.85
Chile,1965,Defense,0.352,14.85
Chile,1966,Defense,0.413,14.85
Chile,1967,Defense,0.407,14.85
Chile,1968,Defense,0.415,14.85
Chile,1969,Defense,0.481,14.85
Chile,1970,Defense,0.527,14.85
Chile,1971,Defense,0.626,14.85
Chile,1972,Defense,0.686,14.85
Chile,1973,Defense,0.798,14.85
Chile,1974,Defense,0.696,14.85
Chile,1975,Defense,0.377,14.85
Chile,1976,Defense,0.474,14.85
Chile,1977,Defense,0.679,14.85
Chile,1978,Defense,0.77,14.85
Chile,1979,Defense,0.94,14.85
Chile,1980,Defense,1.256,14.85
Chile,1981,Defense,1.569,14.85
Chile,1982,Defense,1.072,14.85
Chile,1983,Defense,1.058,14.85
Chile,1984,Defense,1.044,14.85
Chile,1985,Defense,0.815,14.85
Chile,1986,Defense,0.812,14.85
Chile,1987,Defense,0.838,14.85
Chile,1988,Defense,0.896,14.85
Chile,1989,Defense,0.947,14.85
Chile,1990,Defense,0.996,14.85
Chile,1991,Defense,1,12.82
Chile,1992,Defense,1.106,12.06
Chile,1993,Defense,1.207,12.26
Chile,1994,Defense,1.357,12.38
Chile,1995,Defense,1.699,12.71
Chile,1996,Defense,1.747,11.74
Chile,1997,Defense,1.967,12.02
Chile,1998,Defense,1.998,11.76
Chile,1999,Defense,1.942,11.41
Chile,2000,Defense,2.232,11.76
Chile,2001,Defense,1.973,11.42
Chile,2002,Defense,1.853,10.91
Chile,2003,Defense,2.166,12.17
Chile,2004,Defense,2.828,13.03
Chile,2005,Defense,3.171,12.52
Chile,2006,Defense,3.935,13.38
Chile,2007,Defense,4.018,12.07
Chile,2008,Defense,4.726,11.86
Chile,2009,Defense,4.013,9.11
Chile,2010,Defense,5.072,9.61
Chile,2011,Defense,5.832,9.89
Chile,2012,Defense,5.672,8.86
Chile,2013,Defense,5.817,8.63
Chile,2014,Defense,5.327,8.25
Chile,2015,Defense,4.815,7.63
Chile,2016,Defense,5.038,7.59
Chile,2017,Defense,5.651,7.61
Chile,2018,Defense,5.902,7.33
Chile,2019,Defense,5.496,7.04
Chile,2020,Defense,5.695,7.1
Chile,2021,Defense,5.729,4.9
Chile,2022,Defense,5.054,5.78
Chile,2023,Defense,5.904,5.95
Chile,2024,Defense,5.682,5.84
Chile,2025,Defense,6.167,5.84
Chile,2026,Defense,6.383,5.84
China,1950,Defense,1.602,13.21
China,1951,Defense,1.682,13.21
China,1952,Defense,1.766,13.21
China,1953,Defense,1.854,13.21
China,1954,Defense,1.947,13.21
China,1955,Defense,2.044,13.21
China,1956,Defense,2.146,13.21
China,1957,Defense,2.254,13.21
China,1958,Defense,2.366,13.21
China,1959,Defense,2.485,13.21
China,1960,Defense,2.609,13.21
China,1961,Defense,2.187,13.21
China,1962,Defense,2.062,13.21
China,1963,Defense,2.215,13.21
China,1964,Defense,2.608,13.21
China,1965,Defense,3.076,13.21
China,1966,Defense,3.35,13.21
China,1967,Defense,3.183,13.21
China,1968,Defense,3.094,13.21
China,1969,Defense,3.481,13.21
China,1970,Defense,4.043,13.21
China,1971,Defense,4.358,13.21
China,1972,Defense,4.964,13.21
China,1973,Defense,6.049,13.21
China,1974,Defense,6.296,13.21
China,1975,Defense,7.136,13.21
China,1976,Defense,6.722,13.21
China,1977,Defense,7.639,13.21
China,1978,Defense,6.53,13.21
China,1979,Defense,7.785,13.21
China,1980,Defense,8.348,13.21
China,1981,Defense,8.554,13.21
China,1982,Defense,8.958,13.21
China,1983,Defense,10.076,13.21
China,1984,Defense,11.353,13.21
China,1985,Defense,13.517,13.21
China,1986,Defense,13.135,13.21
China,1987,Defense,11.921,13.21
China,1988,Defense,13.64,13.21
China,1989,Defense,15.187,13.21
China,1990,Defense,16.406,13.75
China,1991,Defense,18.082,14.25
China,1992,Defense,23.855,16.87
China,1993,Defense,21.81,14.8
China,1994,Defense,26.361,14.09
China,1995,Defense,36.93,15.16
China,1996,Defense,42.849,14.95
China,1997,Defense,44.998,14.09
China,1998,Defense,44.698,13.06
China,1999,Defense,45.606,12.52
China,2000,Defense,45.795,11.34
China,2001,Defense,51.066,11.42
China,2002,Defense,55.015,11.19
China,2003,Defense,60.959,10.97
China,2004,Defense,71.241,10.88
China,2005,Defense,78.238,10.23
China,2006,Defense,93.87,10.19
China,2007,Defense,114.533,9.63
China,2008,Defense,117.827,7.65
China,2009,Defense,126.729,7.4
China,2010,Defense,142.435,6.97
China,2011,Defense,156.205,6.17
China,2012,Defense,172.883,6.04
China,2013,Defense,191.949,5.97
China,2014,Defense,211.003,5.99
China,2015,Defense,208.469,5.6
China,2016,Defense,207.171,5.48
China,2017,Defense,217.627,5.26
China,2018,Defense,235.773,5.05
China,2019,Defense,235.918,4.91
China,2020,Defense,242.492,4.9
China,2021,Defense,296.123,4.93
China,2022,Defense,294.973,4.88
China,2023,Defense,303.27,5.03
China,2024,Defense,312.748,5.06
China,2025,Defense,325.578,5.06
China,2026,Defense,340.229,5.06
Colombia,1946,Defense,0.046,10.86
Colombia,1947,Defense,0.048,10.86
Colombia,1948,Defense,0.051,10.86
Colombia,1949,Defense,0.053,10.86
Colombia,1950,Defense,0.056,10.86
Colombia,1951,Defense,0.059,10.86
Colombia,1952,Defense,0.062,10.86
Colombia,1953,Defense,0.065,10.86
Colombia,1954,Defense,0.068,10.86
Colombia,1955,Defense,0.072,10.86
Colombia,1956,Defense,0.075,10.86
Colombia,1957,Defense,0.079,10.86
Colombia,1958,Defense,0.083,10.86
Colombia,1959,Defense,0.087,10.86
Colombia,1960,Defense,0.091,10.86
Colombia,1961,Defense,0.103,10.86
Colombia,1962,Defense,0.112,10.86
Colombia,1963,Defense,0.11,10.86
Colombia,1964,Defense,0.135,10.86
Colombia,1965,Defense,0.131,10.86
Colombia,1966,Defense,0.123,10.86
Colombia,1967,Defense,0.132,10.86
Colombia,1968,Defense,0.135,10.86
Colombia,1969,Defense,0.146,10.86
Colombia,1970,Defense,0.163,10.86
Colombia,1971,Defense,0.177,10.86
Colombia,1972,Defense,0.196,10.86
Colombia,1973,Defense,0.234,10.86
Colombia,1974,Defense,0.28,10.86
Colombia,1975,Defense,0.297,10.86
Colombia,1976,Defense,0.348,10.86
Colombia,1977,Defense,0.441,10.86
Colombia,1978,Defense,0.527,10.86
Colombia,1979,Defense,0.633,10.86
Colombia,1980,Defense,0.757,10.86
Colombia,1981,Defense,0.824,10.86
Colombia,1982,Defense,0.883,10.86
Colombia,1983,Defense,0.878,10.86
Colombia,1984,Defense,0.867,10.86
Colombia,1985,Defense,0.791,10.86
Colombia,1986,Defense,0.792,10.86
Colombia,1987,Defense,0.824,10.86
Colombia,1988,Defense,0.888,10.86
Colombia,1989,Defense,0.733,8.88
Colombia,1990,Defense,0.908,9.1
Colombia,1991,Defense,0.921,8.98
Colombia,1992,Defense,1.188,9.75
Colombia,1993,Defense,1.497,10.8
Colombia,1994,Defense,1.739,10.2
Colombia,1995,Defense,2.061,10.68
Colombia,1996,Defense,3.008,14.84
Colombia,1997,Defense,1.994,8.96
Colombia,1998,Defense,2.245,10.93
Colombia,1999,Defense,2.294,11.14
Colombia,2000,Defense,2.097,11.48
Colombia,2001,Defense,3.563,12.16
Colombia,2002,Defense,3.58,12.25
Colombia,2003,Defense,3.515,12.45
Colombia,2004,Defense,4.07,13.1
Colombia,2005,Defense,5.038,13.04
Colombia,2006,Defense,4.976,11.59
Colombia,2007,Defense,6.386,11.67
Colombia,2008,Defense,8.462,13.15
Colombia,2009,Defense,7.805,12.57
Colombia,2010,Defense,9.418,11.98
Colombia,2011,Defense,8.922,10.18
Colombia,2012,Defense,10.874,10.85
Colombia,2013,Defense,14.986,10.91
Colombia,2014,Defense,12.345,9.94
Colombia,2015,Defense,8.449,9.94
Colombia,2016,Defense,8.952,10.24
Colombia,2017,Defense,10.136,10.94
Colombia,2018,Defense,9.466,8.75
Colombia,2019,Defense,10.452,9.57
Colombia,2020,Defense,11.25,10.54
Colombia,2021,Defense,11.435,9.32
Colombia,2022,Defense,9.976,8.25
Colombia,2023,Defense,11.157,8.46
Colombia,2024,Defense,15.297,10.12
Colombia,2025,Defense,16.639,10.12
Colombia,2026,Defense,17.221,10.12
Egypt,1946,Defense,0.09,9.79
Egypt,1947,Defense,0.095,9.79
Egypt,1948,Defense,0.099,9.79
Egypt,1949,Defense,0.104,9.79
Egypt,1950,Defense,0.11,9.79
Egypt,1951,Defense,0.115,9.79
Egypt,1952,Defense,0.121,9.79
Egypt,1953,Defense,0.127,9.79
Egypt,1954,Defense,0.133,9.79
Egypt,1955,Defense,0.14,9.79
Egypt,1956,Defense,0.147,9.79
Egypt,1957,Defense,0.154,9.79
Egypt,1958,Defense,0.162,9.79
Egypt,1959,Defense,0.17,9.79
Egypt,1960,Defense,0.179,9.79
Egypt,1961,Defense,0.191,9.79
Egypt,1962,Defense,0.171,9.79
Egypt,1963,Defense,0.178,9.79
Egypt,1964,Defense,0.2,9.79
Egypt,1965,Defense,0.21,9.79
Egypt,1966,Defense,0.224,9.79
Egypt,1967,Defense,0.238,9.79
Egypt,1968,Defense,0.252,9.79
Egypt,1969,Defense,0.277,9.79
Egypt,1970,Defense,0.341,9.79
Egypt,1971,Defense,0.365,9.79
Egypt,1972,Defense,0.395,9.79
Egypt,1973,Defense,0.429,9.79
Egypt,1974,Defense,0.392,9.79
Egypt,1975,Defense,0.494,9.79
Egypt,1976,Defense,0.487,9.79
Egypt,1977,Defense,0.511,9.79
Egypt,1978,Defense,0.464,9.79
Egypt,1979,Defense,0.587,9.79
Egypt,1980,Defense,0.776,9.79
Egypt,1981,Defense,0.792,9.79
Egypt,1982,Defense,1.072,9.79
Egypt,1983,Defense,0.979,9.79
Egypt,1984,Defense,1.078,9.79
Egypt,1985,Defense,1.169,9.79
Egypt,1986,Defense,1.214,9.79
Egypt,1987,Defense,1.02,9.79
Egypt,1988,Defense,0.94,9.79
Egypt,1989,Defense,0.905,9.79
Egypt,1990,Defense,0.866,9.79
Egypt,1991,Defense,0.854,9.79
Egypt,1992,Defense,1.223,9.79
Egypt,1993,Defense,1.226,9.79
Egypt,1994,Defense,1.345,9.79
Egypt,1995,Defense,1.414,9.79
Egypt,1996,Defense,1.524,9.79
Egypt,1997,Defense,1.589,9.79
Egypt,1998,Defense,1.932,9.79
Egypt,1999,Defense,2.066,9.79
Egypt,2000,Defense,2.281,9.82
Egypt,2001,Defense,2.412,10.72
Egypt,2002,Defense,2.1,10.6
Egypt,2003,Defense,1.943,10.37
Egypt,2004,Defense,1.728,9.55
Egypt,2005,Defense,1.877,8.95
Egypt,2006,Defense,2.269,7.55
Egypt,2007,Defense,2.487,7.61
Egypt,2008,Defense,2.812,6.67
Egypt,2009,Defense,3.036,6.25
Egypt,2010,Defense,3.362,6.23
Egypt,2011,Defense,3.535,6.01
Egypt,2012,Defense,3.651,5.34
Egypt,2013,Defense,3.688,4.65
Egypt,2014,Defense,4.072,4.74
Egypt,2015,Defense,4.447,5.23
Egypt,2016,Defense,4.368,5.09
Egypt,2017,Defense,2.834,4.42
Egypt,2018,Defense,2.813,4.15
Egypt,2019,Defense,3.439,4.18
Egypt,2020,Defense,4.469,4.51
Egypt,2021,Defense,5.218,4.76
Egypt,2022,Defense,5.661,4.6
Egypt,2023,Defense,4.293,4.2
Egypt,2024,Defense,2.943,2.93
Egypt,2025,Defense,2.763,2.93
Egypt,2026,Defense,2.859,2.93
France,1946,Defense,0.656,5.77
France,1947,Defense,0.689,5.77
France,1948,Defense,0.724,5.77
