COUNTRY,YEAR,TOTAL_BUDGET,PCT_DEFENSE,PCT_EDUCATION,PCT_HEALTH,PCT_SOCIAL_WELFARE,PCT_INFRASTRUCTURE,PCT_AGRICULTURE,PCT_INTEREST,PCT_STATE_TRANSFERS,PCT_ADMIN,AMT_DEFENSE,AMT_EDUCATION,AMT_HEALTH,AMT_SOCIAL_WELFARE,AMT_INFRASTRUCTURE
Argentina,1974,14.025,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.811,2.16,2.499,1.468,1.836
Argentina,1975,10.153,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.587,1.564,1.809,1.063,1.329
Argentina,1976,9.907,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.573,1.526,1.766,1.037,1.297
Argentina,1977,10.994,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.635,1.693,1.959,1.151,1.439
Argentina,1978,17.242,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.997,2.655,3.072,1.805,2.257
Argentina,1979,13.409,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.775,2.065,2.389,1.404,1.755
Argentina,1980,14.901,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.861,2.295,2.655,1.56,1.951
Argentina,1981,15.233,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.88,2.346,2.715,1.595,1.994
Argentina,1982,16.324,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.944,2.514,2.909,1.709,2.137
Argentina,1983,20.132,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,1.164,3.1,3.588,2.108,2.635
Argentina,1984,22.637,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,1.308,3.486,4.034,2.37,2.963
Argentina,1985,17.068,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.987,2.628,3.041,1.787,2.234
Argentina,1986,20.499,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,1.185,3.157,3.653,2.146,2.683
Argentina,1987,21.068,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,1.218,3.244,3.754,2.206,2.758
Argentina,1988,24.568,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,1.42,3.784,4.378,2.572,3.216
Argentina,1989,14.837,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,0.858,2.285,2.644,1.553,1.942
Argentina,1990,27.369,5.78,15.4,17.82,10.47,13.09,7.85,8.65,10.47,10.47,1.582,4.215,4.877,2.866,3.583
Argentina,1991,39.865,5.78,15.4,17.82,9.99,12.49,7.49,11.05,9.99,9.99,2.304,6.139,7.104,3.982,4.979
Argentina,1992,50.627,5.78,15.4,17.82,10.24,12.8,7.68,9.8,10.24,10.24,2.926,7.797,9.022,5.184,6.48
Argentina,1993,63.402,5.78,15.4,17.82,10.68,13.35,8.01,7.61,10.68,10.68,3.665,9.764,11.298,6.771,8.464
Argentina,1994,71.933,5.68,15.4,17.82,10.56,13.19,7.92,8.32,10.56,10.56,4.086,11.078,12.818,7.596,9.488
Argentina,1995,75.052,5.76,15.4,17.82,10.16,12.7,7.62,10.2,10.16,10.16,4.323,11.558,13.374,7.625,9.532
Argentina,1996,77.394,4.89,15.4,17.82,10.13,12.67,7.6,11.21,10.13,10.13,3.785,11.919,13.792,7.84,9.806
Argentina,1997,82.452,4.51,15.62,17.82,9.8,12.25,7.35,13.04,9.8,9.8,3.719,12.879,14.693,8.08,10.1
Argentina,1998,84.641,4.39,15.62,17.82,9.49,11.86,7.12,14.71,9.49,9.49,3.716,13.221,15.083,8.032,10.038
Argentina,1999,89.019,4.29,15.88,17.82,8.95,11.19,6.71,17.27,8.95,8.95,3.819,14.136,15.863,7.967,9.961
Argentina,2000,89.708,4.07,16.23,17.82,8.36,10.45,6.27,20.1,8.36,8.36,3.651,14.56,15.986,7.5,9.374
Argentina,2001,85.616,4.01,16.36,16.94,8.09,10.11,6.06,22.27,8.09,8.09,3.433,14.007,14.503,6.926,8.656
Argentina,2002,36.058,4.47,16.44,17.75,5.41,6.76,4.06,34.28,5.41,5.41,1.612,5.928,6.4,1.951,2.438
Argentina,2003,47.46,4.31,14.35,17.08,6.85,8.56,5.14,30.01,6.85,6.85,2.046,6.811,8.106,3.251,4.063
Argentina,2004,52.108,3.84,15.14,14.93,7.96,9.94,5.97,26.31,7.96,7.96,2.001,7.889,7.78,4.148,5.18
Argentina,2005,91.563,3.47,15.8,16.1,11.37,14.22,8.53,7.76,11.37,11.37,3.177,14.467,14.742,10.411,13.02
Argentina,2006,107.145,2.96,15.51,15.19,11.72,14.64,8.79,7.76,11.72,11.72,3.171,16.618,16.275,12.557,15.686
Argentina,2007,132.473,2.68,15.1,14.37,12.02,15.02,9.01,7.76,12.02,12.02,3.55,20.003,19.036,15.923,19.897
Argentina,2008,166.579,2.48,15.75,14.56,11.89,14.86,8.92,7.76,11.89,11.89,4.131,26.236,24.254,19.806,24.754
Argentina,2009,153.411,2.57,16.02,16.64,11.4,14.25,8.55,7.76,11.4,11.4,3.943,24.576,25.528,17.489,21.861
Argentina,2010,195.176,2.44,15.05,16.7,11.61,14.51,8.71,7.76,11.61,11.61,4.762,29.374,32.594,22.66,28.32
Argentina,2011,244.258,2.19,15.16,16.39,11.7,14.63,8.78,7.76,11.7,11.7,5.349,37.029,40.034,28.578,35.735
Argentina,2012,251.548,2.13,14.52,16.68,11.78,14.73,8.84,7.76,11.78,11.78,5.358,36.525,41.958,29.632,37.053
Argentina,2013,254.332,2.23,14.46,16.74,11.76,14.7,8.82,7.76,11.76,11.76,5.672,36.776,42.575,29.909,37.387
Argentina,2014,242.489,2.26,13.8,16.49,11.94,14.92,8.95,7.76,11.94,11.94,5.48,33.463,39.986,28.953,36.179
Argentina,2015,278.908,2.06,13.96,16.45,12.03,15.04,9.02,7.37,12.03,12.03,5.746,38.936,45.88,33.553,41.948
Argentina,2016,273.703,1.95,13.36,15.84,11.49,14.37,8.62,11.39,11.49,11.49,5.337,36.567,43.355,31.448,39.331
Argentina,2017,293.069,2.06,13.26,16.25,11.8,14.75,8.85,9.42,11.8,11.8,6.037,38.861,47.624,34.582,43.228
Argentina,2018,223.111,1.88,12.52,15.69,11.41,14.26,8.55,12.88,11.41,11.41,4.194,27.934,35.006,25.457,31.816
Argentina,2019,185.022,1.84,12.51,16.31,10.71,13.39,8.03,15.8,10.71,10.71,3.404,23.146,30.177,19.816,24.774
Argentina,2020,186.912,1.73,12.42,16.46,12.38,15.47,9.28,7.5,12.38,12.38,3.234,23.215,30.766,23.14,28.915
Argentina,2021,208.908,1.67,12.28,16.76,12.55,15.69,9.42,6.52,12.55,12.55,3.489,25.654,35.013,26.218,32.778
Argentina,2022,259.944,1.82,12.71,15.8,12.38,15.48,9.29,7.76,12.38,12.38,4.731,33.039,41.071,32.181,40.239
Argentina,2023,255.856,2,13.22,16.35,12.23,15.29,9.17,7.29,12.23,12.23,5.117,33.824,41.832,31.291,39.12
Argentina,2024,251.485,1.93,13.22,16.35,12.24,15.3,9.18,7.29,12.24,12.24,4.854,33.246,41.118,30.782,38.477
Argentina,2025,269.107,1.93,13.22,16.35,12.24,15.3,9.18,7.29,12.24,12.24,5.194,35.576,43.999,32.939,41.173
Argentina,2026,278.526,1.93,13.22,16.35,12.24,15.3,9.18,7.29,12.24,12.24,5.376,36.821,45.539,34.092,42.614
Australia,1946,2.468,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.174,0.327,0.36,0.519,0.223
Australia,1947,2.592,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.182,0.343,0.378,0.545,0.234
Australia,1948,2.721,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.192,0.361,0.397,0.573,0.245
Australia,1949,2.857,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.201,0.379,0.417,0.601,0.258
Australia,1950,3,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.211,0.398,0.438,0.631,0.271
Australia,1951,3.15,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.222,0.417,0.46,0.663,0.284
Australia,1952,3.308,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.233,0.438,0.483,0.696,0.298
Australia,1953,3.473,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.245,0.46,0.507,0.731,0.313
Australia,1954,3.647,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.257,0.483,0.532,0.767,0.329
Australia,1955,3.829,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.27,0.507,0.559,0.806,0.345
Australia,1956,4.021,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.283,0.533,0.587,0.846,0.363
Australia,1957,4.222,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.297,0.559,0.616,0.888,0.381
Australia,1958,4.433,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.312,0.587,0.647,0.933,0.4
Australia,1959,4.654,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.328,0.617,0.68,0.979,0.42
Australia,1960,4.887,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.344,0.648,0.713,1.028,0.441
Australia,1961,5.169,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.364,0.685,0.755,1.088,0.466
Australia,1962,5.233,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.368,0.693,0.764,1.101,0.472
Australia,1963,5.657,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.398,0.75,0.826,1.19,0.51
Australia,1964,6.251,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.44,0.828,0.913,1.315,0.564
Australia,1965,6.822,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.48,0.904,0.996,1.435,0.615
Australia,1966,7.172,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.505,0.95,1.047,1.509,0.647
Australia,1967,7.995,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.563,1.059,1.167,1.682,0.721
Australia,1968,8.592,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.605,1.138,1.254,1.808,0.775
Australia,1969,9.634,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.678,1.277,1.407,2.027,0.869
Australia,1970,10.855,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.764,1.438,1.585,2.284,0.979
Australia,1971,11.875,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.836,1.573,1.734,2.499,1.071
Australia,1972,13.667,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,0.962,1.811,1.995,2.876,1.233
Australia,1973,17.138,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,1.206,2.271,2.502,3.606,1.546
Australia,1974,23.473,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,1.653,3.11,3.427,4.939,2.117
Australia,1975,30.103,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,2.119,3.989,4.395,6.334,2.715
Australia,1976,36.129,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,2.543,4.787,5.275,7.602,3.259
Australia,1977,37.905,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,2.669,5.022,5.534,7.975,3.419
Australia,1978,42.219,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,2.972,5.594,6.164,8.883,3.808
Australia,1979,46.496,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,3.273,6.161,6.788,9.783,4.194
Australia,1980,50.962,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,3.588,6.752,7.44,10.722,4.597
Australia,1981,60.608,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,4.267,8.031,8.849,12.752,5.467
Australia,1982,65.728,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,4.627,8.709,9.596,13.829,5.929
Australia,1983,65.928,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,4.641,8.735,9.625,13.871,5.947
Australia,1984,74.498,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,5.245,9.871,10.877,15.674,6.72
Australia,1985,69.413,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,4.887,9.197,10.134,14.604,6.261
Australia,1986,69.331,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,4.881,9.186,10.122,14.587,6.254
Australia,1987,70.801,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,4.984,9.381,10.337,14.896,6.386
Australia,1988,83.098,7.04,13.25,14.6,21.04,9.02,6.01,5,12.02,12.02,5.85,11.011,12.132,17.484,7.495
Australia,1989,96.741,6.92,13.35,14.6,21.05,9.02,6.01,5,12.03,12.03,6.694,12.915,14.124,20.364,8.726
Australia,1990,98.799,6.79,13.59,14.6,21.01,9,6,5,12,12,6.708,13.427,14.425,20.758,8.892
Australia,1991,109.814,6.55,14.07,14.6,20.92,8.97,5.98,5,11.96,11.96,7.193,15.451,16.033,22.973,9.85
Australia,1992,115.679,6.36,13.2,14.6,21.29,9.12,6.08,5,12.17,12.17,7.357,15.27,16.889,24.628,10.55
Australia,1993,113.336,6.38,15.02,14.6,20.65,8.85,5.9,5,11.8,11.8,7.231,17.023,16.547,23.404,10.03
Australia,1994,117.79,6.26,14.3,14.6,20.94,8.98,5.98,5,11.97,11.97,7.374,16.844,17.197,24.665,10.578
Australia,1995,135.914,6,12.17,14.6,21.78,9.33,6.22,5,12.45,12.45,8.155,16.541,19.843,29.602,12.681
Australia,1996,143.36,5.76,12.17,14.6,21.86,9.37,6.25,5,12.49,12.49,8.258,17.447,20.931,31.339,13.433
Australia,1997,150.812,5.69,12.17,14.6,21.89,9.38,6.25,5,12.51,12.51,8.581,18.354,22.019,33.013,14.146
Australia,1998,123.956,5.39,12.17,14.6,21.99,9.43,6.28,5,12.57,12.57,6.681,15.085,18.098,27.258,11.689
Australia,1999,138.837,5.21,12.17,14.6,22.06,9.45,6.3,5,12.6,12.6,7.233,16.897,20.27,30.628,13.12
Australia,2000,145.422,5.18,12.17,14.6,22.07,9.46,6.3,5,12.61,12.61,7.533,17.698,21.232,32.095,13.757
Australia,2001,144.52,5.23,12.17,14.71,22.01,9.43,6.29,5,12.58,12.58,7.558,17.588,21.259,31.809,13.628
Australia,2002,151.701,5.35,12.17,15.51,21.69,9.29,6.2,5,12.39,12.39,8.116,18.462,23.529,32.904,14.093
Australia,2003,174.841,5.28,12.17,15.48,21.72,9.31,6.21,5,12.41,12.41,9.232,21.278,27.065,37.975,16.278
Australia,2004,228.876,5.24,12.17,15.95,21.58,9.25,6.16,5,12.33,12.33,11.993,27.854,36.506,49.391,21.171
Australia,2005,258.531,5.2,12.17,15.9,21.61,9.26,6.17,5,12.35,12.35,13.444,31.463,41.106,55.869,23.94
Australia,2006,270.992,5.26,12.17,15.94,21.57,9.24,6.16,5,12.33,12.33,14.254,32.98,43.196,58.453,25.04
Australia,2007,303.966,5.28,12.17,16.49,21.37,9.16,6.11,5,12.21,12.21,16.049,36.993,50.124,64.958,27.843
Australia,2008,373.549,5.13,12.17,15.61,21.73,9.31,6.21,5,12.42,12.42,19.163,45.461,58.311,81.172,34.777
Australia,2009,357.463,5.09,12.17,15.88,21.65,9.28,6.19,5,12.37,12.37,18.195,43.503,56.765,77.391,33.173
Australia,2010,446.149,5.02,12.17,16.11,21.59,9.25,6.17,5,12.34,12.34,22.397,54.296,71.875,96.324,41.269
Australia,2011,528.739,4.84,12.17,16.32,21.58,9.25,6.17,5,12.33,12.33,25.591,64.348,86.29,114.102,48.908
Australia,2012,587.794,4.57,12.17,16.19,21.72,9.31,6.21,5,12.41,12.41,26.862,71.534,95.164,127.669,54.724
Australia,2013,593.553,4.51,12.17,15.4,22.02,9.44,6.29,5,12.58,12.58,26.769,72.235,91.407,130.7,56.031
Australia,2014,560.646,4.82,12.17,17.64,21.13,9.06,6.04,5,12.07,12.07,27.023,68.231,98.898,118.464,50.795
Australia,2015,525.937,5.24,12.17,18.29,20.76,8.9,5.93,5,11.86,11.86,27.559,64.007,96.194,109.184,46.808
Australia,2016,473.571,5.61,12.17,18.54,20.54,8.8,5.87,5,11.74,11.74,26.567,57.634,87.8,97.271,41.674
Australia,2017,513.416,5.45,12.17,18.58,20.58,8.82,5.88,5,11.76,11.76,27.981,62.483,95.393,105.661,45.283
Australia,2018,544.611,5.14,12.17,18.53,20.71,8.87,5.92,5,11.83,11.83,27.993,66.279,100.916,112.789,48.307
Australia,2019,530.158,4.83,12.17,17.13,21.3,9.13,6.09,5,12.17,12.17,25.607,64.52,90.816,112.924,48.403
Australia,2020,584.469,4.52,12.17,17.06,21.44,9.19,6.12,5,12.25,12.25,26.418,71.13,99.71,125.31,53.713
Australia,2021,738.755,4.74,12.11,19.29,20.6,8.83,5.89,5,11.77,11.77,35.017,89.463,142.506,152.183,65.232
Australia,2022,680.151,5.02,12.64,20.25,19.98,8.56,5.71,5,11.42,11.42,34.144,85.971,137.731,135.894,58.221
Australia,2023,695.724,5.01,12.64,21.01,19.72,8.45,5.63,5,11.27,11.27,34.856,87.94,146.172,137.197,58.789
Australia,2024,704.778,4.96,12.64,21.01,19.73,8.46,5.64,5,11.28,11.28,34.957,89.084,148.074,139.053,59.624
Australia,2025,721.423,4.96,12.64,21.01,19.73,8.46,5.64,5,11.28,11.28,35.783,91.188,151.571,142.337,61.032
Australia,2026,750.28,4.96,12.64,21.01,19.73,8.46,5.64,5,11.28,11.28,37.214,94.835,157.634,148.03,63.474
Bangladesh,1946,0.297,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.031,0.016,0.015,0.027,0.054
Bangladesh,1947,0.311,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.032,0.016,0.016,0.029,0.057
Bangladesh,1948,0.327,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.034,0.017,0.017,0.03,0.06
Bangladesh,1949,0.343,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.035,0.018,0.018,0.031,0.063
Bangladesh,1950,0.36,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.037,0.019,0.019,0.033,0.066
Bangladesh,1951,0.378,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.039,0.02,0.02,0.035,0.069
Bangladesh,1952,0.397,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.041,0.021,0.021,0.036,0.073
Bangladesh,1953,0.417,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.043,0.022,0.022,0.038,0.076
Bangladesh,1954,0.438,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.045,0.023,0.023,0.04,0.08
Bangladesh,1955,0.46,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.048,0.024,0.024,0.042,0.084
Bangladesh,1956,0.483,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.05,0.025,0.025,0.044,0.088
Bangladesh,1957,0.507,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.052,0.027,0.026,0.046,0.093
Bangladesh,1958,0.532,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.055,0.028,0.028,0.049,0.098
Bangladesh,1959,0.559,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.058,0.029,0.029,0.051,0.102
Bangladesh,1960,0.587,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.061,0.031,0.031,0.054,0.108
Bangladesh,1961,0.662,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.068,0.035,0.034,0.061,0.121
Bangladesh,1962,0.698,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.072,0.037,0.036,0.064,0.128
Bangladesh,1963,0.73,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.075,0.038,0.038,0.067,0.134
Bangladesh,1964,0.74,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.076,0.039,0.039,0.068,0.136
Bangladesh,1965,0.811,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.084,0.043,0.042,0.074,0.149
Bangladesh,1966,0.884,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.091,0.047,0.046,0.081,0.162
Bangladesh,1967,0.996,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.103,0.052,0.052,0.091,0.182
Bangladesh,1968,1.028,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.106,0.054,0.054,0.094,0.188
Bangladesh,1969,1.163,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.12,0.061,0.061,0.107,0.213
Bangladesh,1970,1.235,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.128,0.065,0.064,0.113,0.226
Bangladesh,1971,1.202,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.124,0.063,0.063,0.11,0.22
Bangladesh,1972,0.864,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.089,0.045,0.045,0.079,0.158
Bangladesh,1973,1.111,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.115,0.058,0.058,0.102,0.203
Bangladesh,1974,1.718,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.177,0.09,0.09,0.157,0.315
Bangladesh,1975,2.671,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.276,0.14,0.139,0.245,0.489
Bangladesh,1976,1.389,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.144,0.073,0.072,0.127,0.255
Bangladesh,1977,1.325,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.137,0.07,0.069,0.121,0.243
Bangladesh,1978,1.824,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.188,0.096,0.095,0.167,0.334
Bangladesh,1979,2.138,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.221,0.112,0.111,0.196,0.392
Bangladesh,1980,2.491,10.33,5.26,5.21,9.16,18.32,9.16,18.12,9.16,15.27,0.257,0.131,0.13,0.228,0.456
Bangladesh,1981,2.781,10.33,6.63,5.21,8.96,17.91,8.96,18.12,8.96,14.93,0.287,0.184,0.145,0.249,0.498
Bangladesh,1982,2.544,10.33,6.39,5.21,8.99,17.98,8.99,18.12,8.99,14.99,0.263,0.163,0.133,0.229,0.457
Bangladesh,1983,2.418,10.33,6.47,5.21,8.98,17.96,8.98,18.12,8.98,14.97,0.25,0.156,0.126,0.217,0.434
Bangladesh,1984,2.598,10.33,8.09,5.21,8.74,17.47,8.74,18.12,8.74,14.56,0.268,0.21,0.135,0.227,0.454
Bangladesh,1985,3.059,10.33,8.39,5.21,8.69,17.38,8.69,18.12,8.69,14.49,0.316,0.257,0.159,0.266,0.532
